text,label
"Honestly, I have been feeling worthless for weeks man.",depression
"Honestly, I have been feeling down for weeks...",depression
I feel so sad and lonely,depression
"Lately, I have been feeling lonely for weeks...",depression
I have lost interest in sad,depression
"Honestly, I have lost interest in sad.",depression
I feel depressed and hopeless about the future...,depression
I feel so sad and lonely man.,depression
I think I have lost interest in lonely.,depression
I think Everything feels so sad,depression
"Honestly, I feel so sad and sad.",depression
I think I am feeling very exhausted these days,depression
I constantly feel gloomy and tired right now.,depression
I have been feeling sad for weeks right now.,depression
"Lately, I am feeling very hopeless these days",depression
I think I constantly feel miserable and tired,depression
I feel worthless and hopeless about the future,depression
I constantly feel gloomy and tired to be honest.,depression
I think I am sad,depression
I think I have been feeling worthless for weeks to be honest.,depression
"Honestly, I have been feeling depressed for weeks...",depression
I am worthless,depression
I think I feel so sad and down,depression
"Lately, I am numb",depression
It's hard to get out of bed because I feel down right now.,depression
"Lately, I constantly feel empty and tired man.",depression
Everything feels so worthless,depression
"Honestly, I feel so sad and empty man.",depression
There is a deep sense of down.,depression
"Honestly, I constantly feel worthless and tired right now.",depression
I feel lonely and hopeless about the future right now.,depression
I am feeling very down these days,depression
I am worthless...,depression
I am down.,depression
I have lost interest in sad man.,depression
Everything feels so empty right now.,depression
"Lately, Everything feels so empty to be honest.",depression
It's hard to get out of bed because I feel worthless to be honest.,depression
I think I have lost interest in miserable man.,depression
"Lately, I constantly feel down and tired right now.",depression
I feel empty and hopeless about the future,depression
I am feeling very exhausted these days man.,depression
I feel so sad and empty,depression
"Lately, I am sad to be honest.",depression
There is a deep sense of exhausted,depression
"Honestly, I feel numb and hopeless about the future...",depression
Everything feels so hopeless,depression
I think I constantly feel miserable and tired...,depression
"Honestly, Everything feels so lonely...",depression
"Honestly, I feel numb and hopeless about the future right now.",depression
I feel so sad and down right now.,depression
I have lost interest in hopeless...,depression
I think I constantly feel worthless and tired man.,depression
I think I feel numb and hopeless about the future.,depression
"Lately, There is a deep sense of empty.",depression
I have lost interest in lonely man.,depression
"Honestly, I am feeling very lonely these days.",depression
I think It's hard to get out of bed because I feel worthless.,depression
"Honestly, I am down",depression
There is a deep sense of miserable.,depression
I am miserable man.,depression
"Lately, I feel so sad and down to be honest.",depression
Everything feels so down.,depression
"Lately, I constantly feel sad and tired to be honest.",depression
I constantly feel empty and tired,depression
"Honestly, I constantly feel empty and tired...",depression
"Lately, I feel so sad and gloomy...",depression
"Honestly, It's hard to get out of bed because I feel gloomy...",depression
"Honestly, I am feeling very exhausted these days...",depression
I think I feel so sad and sad to be honest.,depression
There is a deep sense of down right now.,depression
"Lately, I am sad.",depression
I have lost interest in miserable to be honest.,depression
I think I feel so sad and sad.,depression
I think There is a deep sense of gloomy man.,depression
I think I feel so sad and down to be honest.,depression
I think I am numb right now.,depression
I feel so sad and miserable right now.,depression
I feel so sad and hopeless...,depression
I am feeling very hopeless these days right now.,depression
"Honestly, I am worthless",depression
I have been feeling lonely for weeks right now.,depression
I am numb,depression
"Honestly, I constantly feel numb and tired man.",depression
There is a deep sense of empty to be honest.,depression
I think Everything feels so empty to be honest.,depression
I feel worthless and hopeless about the future man.,depression
I feel lonely and hopeless about the future,depression
I feel down and hopeless about the future right now.,depression
I think I have been feeling gloomy for weeks man.,depression
"Lately, I am depressed man.",depression
I have lost interest in gloomy.,depression
"Lately, I feel so sad and sad right now.",depression
I have been feeling worthless for weeks,depression
I think There is a deep sense of hopeless right now.,depression
"Honestly, It's hard to get out of bed because I feel gloomy",depression
I think There is a deep sense of down.,depression
"Honestly, I am feeling very hopeless these days",depression
"Honestly, I am feeling very exhausted these days",depression
I feel hopeless and hopeless about the future right now.,depression
"Honestly, I have been feeling down for weeks...",depression
"Lately, Everything feels so hopeless to be honest.",depression
I have lost interest in exhausted man.,depression
I am worthless to be honest.,depression
I think I have lost interest in sad right now.,depression
I am empty man.,depression
"Honestly, I am lonely",depression
"Honestly, I have lost interest in lonely to be honest.",depression
I constantly feel lonely and tired.,depression
I think There is a deep sense of miserable.,depression
"Honestly, I am feeling very exhausted these days to be honest.",depression
I feel sad and hopeless about the future,depression
I think I am depressed...,depression
I think I am depressed...,depression
I think I constantly feel depressed and tired right now.,depression
"Lately, I am feeling very sad these days man.",depression
I have been feeling gloomy for weeks,depression
"Honestly, I feel so sad and gloomy",depression
I constantly feel sad and tired right now.,depression
"Honestly, I feel so sad and miserable to be honest.",depression
"Honestly, I have lost interest in down...",depression
I think I feel numb and hopeless about the future to be honest.,depression
I have lost interest in lonely to be honest.,depression
"Lately, I constantly feel miserable and tired...",depression
I think I constantly feel miserable and tired right now.,depression
There is a deep sense of miserable to be honest.,depression
"Honestly, It's hard to get out of bed because I feel worthless right now.",depression
"Honestly, I feel so sad and sad...",depression
"Lately, I feel miserable and hopeless about the future right now.",depression
"Honestly, I constantly feel hopeless and tired...",depression
"Honestly, I am feeling very depressed these days right now.",depression
"Lately, Everything feels so gloomy.",depression
I think Everything feels so miserable...,depression
I have been feeling depressed for weeks,depression
I think It's hard to get out of bed because I feel hopeless,depression
I think Everything feels so lonely right now.,depression
I have lost interest in lonely...,depression
"Lately, I constantly feel miserable and tired...",depression
There is a deep sense of worthless.,depression
I think Everything feels so depressed,depression
I think I feel so sad and hopeless.,depression
"Honestly, I have been feeling lonely for weeks to be honest.",depression
I have lost interest in gloomy to be honest.,depression
I am feeling very gloomy these days right now.,depression
"Honestly, There is a deep sense of down",depression
I think I feel so sad and depressed,depression
"Lately, I feel depressed and hopeless about the future",depression
I think I constantly feel miserable and tired,depression
"Lately, There is a deep sense of gloomy man.",depression
I have been feeling numb for weeks,depression
I think It's hard to get out of bed because I feel lonely...,depression
"Honestly, I feel so sad and hopeless right now.",depression
I think I am lonely to be honest.,depression
I am feeling very worthless these days.,depression
I feel so sad and miserable.,depression
"Honestly, I have lost interest in gloomy to be honest.",depression
I think I am worthless right now.,depression
"Honestly, I am sad right now.",depression
"Lately, Everything feels so depressed.",depression
"Lately, I am feeling very depressed these days.",depression
I am feeling very lonely these days man.,depression
I am depressed.,depression
Everything feels so depressed right now.,depression
"Honestly, I am sad to be honest.",depression
I think I have been feeling lonely for weeks to be honest.,depression
"Honestly, I feel worthless and hopeless about the future",depression
I think Everything feels so sad man.,depression
I have been feeling sad for weeks right now.,depression
"Lately, There is a deep sense of hopeless.",depression
"Lately, I have lost interest in worthless",depression
I have been feeling worthless for weeks right now.,depression
It's hard to get out of bed because I feel sad right now.,depression
I have been feeling empty for weeks,depression
There is a deep sense of sad,depression
"Lately, I have lost interest in exhausted...",depression
"Lately, Everything feels so sad man.",depression
"Honestly, It's hard to get out of bed because I feel empty...",depression
I constantly feel gloomy and tired...,depression
I feel so sad and lonely man.,depression
"Lately, I feel so sad and sad man.",depression
"Honestly, I feel worthless and hopeless about the future.",depression
I think I am feeling very depressed these days...,depression
I think I feel sad and hopeless about the future.,depression
"Lately, I feel empty and hopeless about the future right now.",depression
I think I feel so sad and worthless,depression
I feel so sad and down man.,depression
"Lately, I feel down and hopeless about the future to be honest.",depression
There is a deep sense of gloomy man.,depression
"Honestly, I get restless for no reason to be honest.",anxiety
"Lately, I feel worrying about everything man.",anxiety
"Honestly, I am always nervous to be honest.",anxiety
I get anxious for no reason,anxiety
I think I feel extremely panicked,anxiety
"Honestly, I am constantly restless and on edge",anxiety
I think I feel extremely nervous,anxiety
My heart races and I feel restless man.,anxiety
"Lately, I am constantly scared and on edge",anxiety
"Honestly, I feel extremely uneasy man.",anxiety
I suffer from fearful and panic attacks to be honest.,anxiety
I get terrified for no reason,anxiety
I think I can't stop panicked,anxiety
"Lately, I have a lot of worried and fear right now.",anxiety
I am constantly fearful and on edge to be honest.,anxiety
I feel nervous about everything right now.,anxiety
I think I am always uneasy,anxiety
I get nervous for no reason...,anxiety
I feel extremely scared right now.,anxiety
I think I feel extremely uneasy,anxiety
"Lately, I am constantly terrified and on edge",anxiety
I feel extremely terrified...,anxiety
I feel extremely fearful to be honest.,anxiety
"Lately, I have a lot of uneasy and fear.",anxiety
I think I am constantly uneasy and on edge right now.,anxiety
"Lately, I can't stop terrified to be honest.",anxiety
I think I feel terrified about everything man.,anxiety
I think My heart races and I feel scared...,anxiety
I have a lot of restless and fear...,anxiety
"Honestly, I feel scared about everything...",anxiety
"Lately, I feel nervous about everything to be honest.",anxiety
"Lately, I am always worrying right now.",anxiety
My heart races and I feel restless to be honest.,anxiety
I feel scared about everything.,anxiety
I feel uneasy about everything,anxiety
I have a lot of fearful and fear to be honest.,anxiety
"Honestly, I feel extremely scared right now.",anxiety
"Honestly, I feel extremely restless to be honest.",anxiety
I feel extremely worrying right now.,anxiety
"Honestly, I feel extremely anxious to be honest.",anxiety
I think I feel extremely panicked...,anxiety
I think My heart races and I feel restless...,anxiety
I feel extremely worrying man.,anxiety
I suffer from fearful and panic attacks.,anxiety
I feel panicked about everything to be honest.,anxiety
"Lately, I suffer from terrified and panic attacks man.",anxiety
I feel panicked about everything to be honest.,anxiety
"Lately, I am always worried",anxiety
I think I feel restless about everything...,anxiety
"Lately, I am always worrying.",anxiety
I suffer from restless and panic attacks...,anxiety
"Lately, I suffer from restless and panic attacks...",anxiety
I can't stop worrying man.,anxiety
"Honestly, I can't stop anxious right now.",anxiety
"Lately, I feel extremely worried to be honest.",anxiety
"Lately, My heart races and I feel worried.",anxiety
I think I feel fearful about everything man.,anxiety
I think I can't stop worried right now.,anxiety
I think I am constantly restless and on edge,anxiety
I feel extremely fearful.,anxiety
I think I am always uneasy to be honest.,anxiety
My heart races and I feel worrying.,anxiety
"Lately, I can't stop uneasy right now.",anxiety
I have a lot of worried and fear to be honest.,anxiety
I feel extremely uneasy...,anxiety
I am constantly scared and on edge,anxiety
I am constantly scared and on edge.,anxiety
I think I get terrified for no reason right now.,anxiety
I suffer from worried and panic attacks,anxiety
I suffer from worrying and panic attacks to be honest.,anxiety
"Honestly, I feel extremely worrying right now.",anxiety
I have a lot of worried and fear,anxiety
I think I am constantly fearful and on edge to be honest.,anxiety
I think I have a lot of panicked and fear man.,anxiety
I think I am always terrified,anxiety
"Honestly, I am always terrified right now.",anxiety
"Lately, I have a lot of terrified and fear man.",anxiety
"Lately, I get anxious for no reason",anxiety
"Lately, I am constantly anxious and on edge to be honest.",anxiety
I feel panicked about everything right now.,anxiety
I feel worrying about everything,anxiety
I suffer from scared and panic attacks,anxiety
I feel extremely fearful right now.,anxiety
My heart races and I feel worrying man.,anxiety
I think I am constantly restless and on edge,anxiety
"Honestly, I feel uneasy about everything",anxiety
"Lately, I am always nervous to be honest.",anxiety
I think I suffer from worried and panic attacks right now.,anxiety
"Honestly, I am always restless right now.",anxiety
"Lately, I have a lot of anxious and fear right now.",anxiety
"Lately, I suffer from fearful and panic attacks right now.",anxiety
"Lately, I am constantly restless and on edge to be honest.",anxiety
I am always uneasy to be honest.,anxiety
I suffer from scared and panic attacks.,anxiety
I suffer from fearful and panic attacks,anxiety
"Lately, I suffer from uneasy and panic attacks man.",anxiety
"Lately, I feel worrying about everything to be honest.",anxiety
"Honestly, I feel extremely panicked",anxiety
"Honestly, I have a lot of fearful and fear right now.",anxiety
I think I can't stop scared to be honest.,anxiety
I think I can't stop worrying,anxiety
I have a lot of worrying and fear.,anxiety
My heart races and I feel restless,anxiety
I am constantly nervous and on edge man.,anxiety
I feel worried about everything,anxiety
"Honestly, I have a lot of nervous and fear.",anxiety
I am always nervous.,anxiety
I think I feel extremely restless,anxiety
My heart races and I feel scared to be honest.,anxiety
I get worrying for no reason.,anxiety
I think I am always terrified,anxiety
"Lately, My heart races and I feel scared",anxiety
"Lately, I feel fearful about everything to be honest.",anxiety
"Lately, I can't stop anxious",anxiety
I think I can't stop terrified man.,anxiety
I think I am constantly anxious and on edge,anxiety
I get fearful for no reason man.,anxiety
I am always nervous,anxiety
I suffer from nervous and panic attacks,anxiety
I think I am always nervous,anxiety
I think I am always worrying man.,anxiety
"Honestly, I suffer from worrying and panic attacks.",anxiety
I have a lot of uneasy and fear man.,anxiety
I am constantly terrified and on edge,anxiety
I think I have a lot of terrified and fear right now.,anxiety
"Lately, My heart races and I feel fearful.",anxiety
"Honestly, I can't stop terrified to be honest.",anxiety
I think I can't stop worrying man.,anxiety
I think I feel extremely fearful.,anxiety
I am always anxious,anxiety
I am constantly fearful and on edge right now.,anxiety
I suffer from restless and panic attacks right now.,anxiety
I am always nervous,anxiety
I suffer from worrying and panic attacks right now.,anxiety
I am constantly worried and on edge man.,anxiety
My heart races and I feel worried.,anxiety
I am constantly scared and on edge.,anxiety
I can't stop fearful,anxiety
I am always fearful to be honest.,anxiety
I have a lot of panicked and fear,anxiety
"Honestly, I can't stop terrified",anxiety
"Honestly, I suffer from fearful and panic attacks",anxiety
I suffer from restless and panic attacks,anxiety
"Honestly, My heart races and I feel fearful man.",anxiety
My heart races and I feel scared...,anxiety
I think I feel panicked about everything...,anxiety
I get fearful for no reason to be honest.,anxiety
"Honestly, I feel extremely terrified.",anxiety
"Honestly, I feel restless about everything to be honest.",anxiety
"Lately, I am constantly uneasy and on edge.",anxiety
"Lately, I feel extremely scared",anxiety
"Lately, I am always uneasy",anxiety
I suffer from anxious and panic attacks to be honest.,anxiety
"Lately, I have a lot of fearful and fear...",anxiety
I think I am constantly scared and on edge right now.,anxiety
"Lately, I suffer from restless and panic attacks to be honest.",anxiety
I think I feel extremely terrified to be honest.,anxiety
I think I can't stop worrying,anxiety
My heart races and I feel scared right now.,anxiety
I feel restless about everything to be honest.,anxiety
I am always nervous...,anxiety
My heart races and I feel nervous,anxiety
I am constantly uneasy and on edge.,anxiety
I am always panicked right now.,anxiety
I suffer from worrying and panic attacks right now.,anxiety
I am constantly uneasy and on edge.,anxiety
I am constantly panicked and on edge.,anxiety
I feel extremely fearful...,anxiety
"Honestly, I am constantly anxious and on edge.",anxiety
I am always nervous.,anxiety
"Lately, I feel extremely fearful man.",anxiety
"Lately, I can't stop nervous to be honest.",anxiety
I am constantly worrying and on edge to be honest.,anxiety
I think I have a lot of restless and fear.,anxiety
I think I can't stop anxious right now.,anxiety
I get scared for no reason right now.,anxiety
I am constantly uneasy and on edge man.,anxiety
I think I suffer from terrified and panic attacks man.,anxiety
I am constantly uneasy and on edge right now.,anxiety
I get uneasy for no reason,anxiety
"Lately, I feel worried about everything man.",anxiety
I am constantly terrified and on edge right now.,anxiety
I think I am constantly panicked and on edge man.,anxiety
I think I suffer from fearful and panic attacks to be honest.,anxiety
"Lately, I am always worrying.",anxiety
"Honestly, I am always terrified.",anxiety
"Honestly, I get scared for no reason.",anxiety
"Honestly, I get scared for no reason...",anxiety
"Lately, I feel worried about everything man.",anxiety
"Honestly, I have a lot of worried and fear to be honest.",anxiety
"Honestly, I am constantly fearful and on edge...",anxiety
"Lately, My heart races and I feel panicked",anxiety
I feel extremely terrified to be honest.,anxiety
I feel panicked about everything man.,anxiety
"Lately, I feel restless about everything",anxiety
"Lately, I am always worried...",anxiety
My heart races and I feel terrified man.,anxiety
"Honestly, I am constantly restless and on edge right now.",anxiety
I feel nervous about everything to be honest.,anxiety
I feel extremely panicked to be honest.,anxiety
"Lately, I have a lot of anxious and fear.",anxiety
I think I am constantly nervous and on edge to be honest.,anxiety
I am always panicked,anxiety
I think I am constantly anxious and on edge.,anxiety
I think I have a lot of worrying and fear man.,anxiety
"Lately, My heart races and I feel anxious",anxiety
"Lately, I feel scared about everything right now.",anxiety
"Honestly, My heart races and I feel worried",anxiety
I think I have a lot of scared and fear.,anxiety
I have a lot of anxious and fear.,anxiety
I suffer from fearful and panic attacks.,anxiety
"Honestly, My heart races and I feel terrified man.",anxiety
"Honestly, I am constantly scared and on edge right now.",anxiety
I think I am constantly scared and on edge right now.,anxiety
My heart races and I feel uneasy to be honest.,anxiety
"Lately, I am always restless...",anxiety
I am constantly terrified and on edge,anxiety
I feel extremely scared,anxiety
"Lately, I am constantly terrified and on edge",anxiety
I feel anxious about everything,anxiety
I think I can't stop fearful man.,anxiety
My heart races and I feel fearful right now.,anxiety
I can't stop restless...,anxiety
I am always anxious.,anxiety
I am constantly fearful and on edge.,anxiety
I think I feel extremely worried right now.,anxiety
"Honestly, I suffer from terrified and panic attacks.",anxiety
I am constantly uneasy and on edge right now.,anxiety
I feel panicked about everything man.,anxiety
"Lately, I can't stop worrying",anxiety
I am always uneasy...,anxiety
"Lately, I suffer from scared and panic attacks to be honest.",anxiety
I think I suffer from worried and panic attacks to be honest.,anxiety
"Lately, I feel extremely anxious man.",anxiety
I have a lot of fearful and fear man.,anxiety
I think I get fearful for no reason,anxiety
I think I am always panicked,anxiety
I feel panicked about everything,anxiety
I feel extremely uneasy.,anxiety
I have a lot of restless and fear man.,anxiety
I have a lot of panicked and fear.,anxiety
I have a lot of fearful and fear to be honest.,anxiety
"Honestly, My heart races and I feel panicked",anxiety
"Honestly, I am constantly worrying and on edge right now.",anxiety
"Lately, I am constantly fearful and on edge to be honest.",anxiety
I am always nervous...,anxiety
I am always anxious,anxiety
I feel extremely scared man.,anxiety
I get uneasy for no reason man.,anxiety
"Honestly, I am constantly fearful and on edge.",anxiety
I feel worried about everything.,anxiety
I can't stop restless...,anxiety
"Honestly, I am constantly uneasy and on edge",anxiety
I feel fearful about everything right now.,anxiety
I think I feel nervous about everything to be honest.,anxiety
"Lately, I am constantly fearful and on edge man.",anxiety
I feel extremely nervous man.,anxiety
"Honestly, I feel worried about everything.",anxiety
"Lately, I have a lot of worrying and fear",anxiety
I can't stop anxious...,anxiety
I am always nervous.,anxiety
"Honestly, I feel extremely nervous man.",anxiety
I am constantly restless and on edge man.,anxiety
I think I feel fearful about everything right now.,anxiety
I can't stop uneasy man.,anxiety
I think I have a lot of fearful and fear,anxiety
I think I have a lot of nervous and fear.,anxiety
"Honestly, I suffer from worrying and panic attacks man.",anxiety
"Honestly, I have a lot of worried and fear.",anxiety
My heart races and I feel uneasy...,anxiety
I think I get uneasy for no reason to be honest.,anxiety
"Lately, I get restless for no reason",anxiety
I am constantly nervous and on edge...,anxiety
"Lately, I have a lot of worrying and fear",anxiety
I think I am constantly anxious and on edge...,anxiety
I feel worried about everything,anxiety
"Lately, I feel extremely anxious right now.",anxiety
I am always restless man.,anxiety
I think I get uneasy for no reason.,anxiety
I have a lot of anxious and fear right now.,anxiety
My heart races and I feel worrying man.,anxiety
"Honestly, I have a lot of scared and fear.",anxiety
I am always nervous...,anxiety
My heart races and I feel nervous man.,anxiety
My heart races and I feel scared to be honest.,anxiety
"Honestly, I feel extremely nervous.",anxiety
"Lately, I am always worrying",anxiety
I have a lot of worried and fear to be honest.,anxiety
I feel extremely fearful...,anxiety
I feel extremely anxious,anxiety
I feel restless about everything right now.,anxiety
"Lately, My heart races and I feel scared",anxiety
"Lately, I suffer from uneasy and panic attacks right now.",anxiety
I have a lot of worried and fear...,anxiety
I am always fearful man.,anxiety
"Lately, I am constantly worried and on edge man.",anxiety
I think I am always worrying...,anxiety
I have a lot of restless and fear,anxiety
"Lately, I get restless for no reason.",anxiety
I feel extremely worried to be honest.,anxiety
I am always terrified right now.,anxiety
I suffer from terrified and panic attacks,anxiety
I have a lot of worried and fear right now.,anxiety
I am constantly anxious and on edge.,anxiety
I am constantly worrying and on edge right now.,anxiety
"Honestly, My heart races and I feel fearful.",anxiety
"Honestly, I get worrying for no reason",anxiety
I have a lot of terrified and fear to be honest.,anxiety
"Honestly, My heart races and I feel scared",anxiety
I think I suffer from restless and panic attacks right now.,anxiety
"Honestly, I am always uneasy right now.",anxiety
I think I am always worrying man.,anxiety
I can't stop fearful man.,anxiety
I think I can't stop nervous man.,anxiety
I feel extremely anxious to be honest.,anxiety
